GitHub URL,Name/Repo,About,Where it Fits,Connectors,Languages
https://github.com/AgentOps/AgentOps,AgentOps/AgentOps,,Agent framework/agent ops,,
https://github.com/agno-agi/agent-ui,agno-agi/agent-ui,,Agent framework/agent ops,,
https://github.com/agno-agi/agno,agno-agi/agno,,,,
https://github.com/ag-ui-protocol/ag-ui,ag-ui-protocol/ag-ui,,UI (Web/Desktop),,
https://github.com/AI4Finance-Foundation/FinRobot,AI4Finance-Foundation/FinRobot,,,,
https://github.com/Aider-AI/aider,Aider-AI/aider,,,,
https://github.com/AI-Tools-Inc/awesome-ai-tools,AI-Tools-Inc/awesome-ai-tools,,,,
https://github.com/AIxHunter/FileWizardAI,AIxHunter/FileWizardAI,,,,
https://github.com/All-Hands-AI/OpenHands,All-Hands-AI/OpenHands,,,,
https://github.com/antoyo/relm,antoyo/relm,,,,
https://github.com/apache/arrow-rs-object-store,apache/arrow-rs-object-store,,Analytics/SQL,,
https://github.com/apache/datafusion,apache/datafusion,,Analytics/SQL,,
https://github.com/Appaxaap/Focus,Appaxaap/Focus,,,,
https://github.com/appsmithorg/appsmith,appsmithorg/appsmith,,,,
https://github.com/arkflow-rs/arkflow,arkflow-rs/arkflow,,,,Rust
https://github.com/block/goose,block/goose,,,,
https://github.com/bmad-code-org/BMAD-METHOD,bmad-code-org/BMAD-METHOD,,,,
https://github.com/brilliantlabsAR/noa-assistant,brilliantlabsAR/noa-assistant,,,,
https://github.com/browser-use/browser-use,browser-use/browser-use,,,,
https://github.com/bytedance/UI-TARS-desktop,bytedance/UI-TARS-desktop,,UI (Web/Desktop),,
https://github.com/camel-ai/owl,camel-ai/owl,,,,
https://github.com/charmbracelet/crush,charmbracelet/crush,,,,
https://github.com/charmbracelet/crush/releases/tag/v0.4.0,charmbracelet/crush/releases/tag/v0.4.0,,,,
https://github.com/cloudflare/pingora,cloudflare/pingora,,,,
https://github.com/coleam00/Archon,coleam00/Archon,,,,
https://github.com/coleam00/mcp-crawl4ai-rag,coleam00/mcp-crawl4ai-rag,,RAG/Search,,
https://github.com/coleam00/ottomator-agents,coleam00/ottomator-agents,,Agent framework/agent ops,,TypeScript/JavaScript
https://github.com/cunarist/rinf,cunarist/rinf,,,,
https://github.com/danny-avila/LibreChat,danny-avila/LibreChat,"Enhanced ChatGPT Clone: Features Agents, MCP, DeepSeek, Anthropic, AWS, OpenAI, Responses API, Azure, Groq, o1, GPT-5, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions, Secure Multi-User Auth, Presets, open-source for self-hosting. Active.",,,
https://github.com/datafusion-contrib,datafusion-contrib,,,,
https://github.com/datafusion-contrib/datafusion-orc,datafusion-contrib/datafusion-orc,,Analytics/SQL,,
https://github.com/datafusion-contrib/datafusion-table-providers,datafusion-contrib/datafusion-table-providers,,Analytics/SQL,,
https://github.com/dengyin2000/dynamic_widget,dengyin2000/dynamic_widget,,,,
https://github.com/developer-az/my-todo-app,developer-az/my-todo-app,,,,
https://github.com/DioxusLabs/dioxus,DioxusLabs/dioxus,,Tauri/Dioxus examples (from search): Tauri-based ChatGPT apps and Dioxus UIs for Rust give you native cross‑platform shells; pair with Rig + llama.cpp for an all‑Rust stack.,,
https://github.com/disler/agentic-drop-zones,disler/agentic-drop-zones,,Agent framework/agent ops,,
https://github.com/disler/nano-agent,disler/nano-agent,,Agent framework/agent ops,,
https://github.com/docker/compose,docker/compose,,,,
