agent_name,role,layer,scope,tools,inputs,outputs,guardrails,escalation_to,stack
agent_0001,Micro Agent,micro,,,upgrade_status;retirement_policy,agent_lifecycle_event,,Stack-Chief,Subject-001
agent_0002,Micro Agent,micro,,,tenant_config;resource_usage,isolation_report;quota_alert,,Stack-Chief,Subject-001
agent_0003,Micro Agent,micro,,,current_version;available_patch,upgrade_status,,Stack-Chief,Subject-001
agent_0004,Micro Agent,micro,,,,,,Stack-Chief,Subject-001
agent_0005,Micro Agent,micro,,,agent_status;health_signals,health_report;restart_action,,Stack-Chief,Subject-001
agent_0006,Micro Agent,micro,,,data_state;backup_policy,backup_file;restore_status,,Stack-Chief,Subject-001
agent_0007,Micro Agent,micro,,,call_metadata;ttl_policy,cached_response,,Stack-Chief,Subject-001
agent_0008,Micro Agent,micro,,,env_specs;feature_flags,validated_config,,Stack-Chief,Subject-001
agent_0009,Micro Agent,micro,,,task;resource_metrics,cost_estimate;budget_alert,,Stack-Chief,Subject-001
agent_0010,Micro Agent,micro,,,error;retry_policy,retry_action;circuit_break,,Stack-Chief,Subject-001
agent_0011,Micro Agent,micro,,,event;metric_definition,log_entry;metrics,,Stack-Chief,Subject-001
agent_0012,Micro Agent,micro,,,incident_alert;security_report,recovery_plan;operator_spawn,,Stack-Chief,Subject-001
agent_0013,Micro Agent,micro,,,metrics;health_checks,alerts;status_reports,,Stack-Chief,Subject-001
agent_0014,Micro Agent,micro,,,recovery_plan;assignment,incident_resolved;postmortem_report,,Stack-Chief,Subject-001
agent_0015,Micro Agent,micro,,,code_files;dependencies,scan_report;remediation_recommendation,,Stack-Chief,Subject-001
agent_0016,Micro Agent,micro,,,option1;option2;criteria,comparison_report;recommendation,,Stack-Chief,Subject-001
agent_0017,Micro Agent,micro,,,source_config;raw_data,processed_data;ingestion_report,,Stack-Chief,Subject-001
agent_0018,Micro Agent,micro,,,query;knowledge_graph,search_results;references,,Stack-Chief,Subject-001
agent_0019,Micro Agent,micro,,,processed_data;agent_logs;metadata,knowledge_graph,,Stack-Chief,Subject-001
agent_0020,Micro Agent,micro,,,query;source_config,summary;citations,,Stack-Chief,Subject-001
agent_0021,Micro Agent,micro,,,workflow_plan;risk_model,simulation_report;risk_map,,Stack-Chief,Subject-001
agent_0022,Micro Agent,micro,,,,,,Stack-Chief,Subject-001
agent_0023,Micro Agent,micro,,,,,,Stack-Chief,Subject-001
agent_0024,Micro Agent,micro,,,,,,Stack-Chief,Subject-001
agent_0025,Micro Agent,micro,,,,,,Stack-Chief,Subject-001
agent_0026,Micro Agent,micro,,,,,,Stack-Chief,Subject-001
agent_0027,Micro Agent,micro,,,,,,Stack-Chief,Subject-001
agent_0028,Micro Agent,micro,,,,,,Stack-Chief,Subject-001
agent_0029,Micro Agent,micro,,,,,,Stack-Chief,Subject-001
agent_0030,Micro Agent,micro,,,,,,Stack-Chief,Subject-001
agent_0031,Micro Agent,micro,,,,,,Stack-Chief,Subject-001
agent_0032,Micro Agent,micro,,,,,,Stack-Chief,Subject-001
agent_0033,Micro Agent,micro,,,ethics_alert;compliance_alert;action_logs,audit_report;compliance_dashboard,,Stack-Chief,Subject-001
agent_0034,Micro Agent,micro,,,access_logs;compliance_policies,compliance_alert;enforcement_action,,Stack-Chief,Subject-001
agent_0035,Micro Agent,micro,,,output;alignment_criteria,alignment_report;intervention_suggestion,,Stack-Chief,Subject-001
agent_0036,Micro Agent,micro,,,action_logs;policy_framework,ethics_alert;review_request,,Stack-Chief,Subject-001
agent_0037,Micro Agent,micro,,,proposal;system_metrics;user_request,manifest_update;approval_request;changelog,,Stack-Chief,Subject-001
agent_0038,Micro Agent,micro,,,role_definitions;user_requests,access_grant;access_denial,,Stack-Chief,Subject-001
agent_0039,Micro Agent,micro,,,proposal,approval_status,,Stack-Chief,Subject-001
agent_0040,Micro Agent,micro,,,agent_spec;blueprint,code_files;Dockerfile;CI_snippet,,Stack-Chief,Subject-001
agent_0041,Micro Agent,micro,,,code_files,lint_report;formatted_code,,Stack-Chief,Subject-001
agent_0042,Micro Agent,micro,,,code_files;template,requirements.txt;package.json,,Stack-Chief,Subject-001
agent_0043,Micro Agent,micro,,,code_files;spec,README.md;docstrings,,Stack-Chief,Subject-001
agent_0044,Micro Agent,micro,,,endpoint;change_log,doc_update;doc_alert,,Stack-Chief,Subject-001
agent_0045,Micro Agent,micro,,,goal;tasks;constraints,execution_plan;delegated_tasks,,Stack-Chief,Subject-001
agent_0046,Micro Agent,micro,,,agent_spec,prompt_text;prompt_parameters,,Stack-Chief,Subject-001
agent_0047,Micro Agent,micro,,,prompt;language,rendered_code,,Stack-Chief,Subject-001
agent_0048,Micro Agent,micro,,,code_files;spec,test_scripts,,Stack-Chief,Subject-001
agent_0049,Micro Agent,micro,,,resource;user_intent,deployment_plan;status,,Stack-Chief,Subject-001
agent_0050,Micro Agent,micro,,,,,,Stack-Chief,Subject-001
agent_0051,Micro Agent,micro,,,,,,Stack-Chief,Subject-001
agent_0052,Micro Agent,micro,,,,,,Stack-Chief,Subject-001
agent_0053,Micro Agent,micro,,,,,,Stack-Chief,Subject-001
agent_0054,Micro Agent,micro,,,result;user_feedback,improvement_suggestion;feedback_log,,Stack-Chief,Subject-001
