agent_name,role,layer,scope,tools,inputs,outputs,guardrails,escalation_to,stack,actions,agent_code,agent_id,aka,artifacts,audit_logging,auto_remediation,autonomy_level,budget_cap,cache,capabilities,capability_pack,capability_pack_id,category,code_paths,commands,connectors,cost_center,court_gate,court_policy_id,created_at,data_sources,dependencies,depends_on_agents,display_name,efg_requirements,embedding_models,endpoints,epic,escalation_policy,export_control,failure_modes,governance_role,human_approval_required,last_updated,license_category,manifests,maturity_level,memory_scope,metrics,models,operational_readiness_score,operations_domain,owner_role,pii_handling,plane,policies,provides_capabilities,purpose,raci_a,raci_c,raci_i,raci_r,risk_class,scheduler_owner,scheduling,security_level,sla,source_file,source_row_index,source_rows_json,spawn_policy,state_store,status,subcategory,telemetry,telemetry_topic,tools_stack,triggers,type,version
AgentSelfUpgradeRetirementAgent,Micro Agent,micro,,,upgrade_status;retirement_policy,agent_lifecycle_event,,Stack-Chief,Subject-001,,wx YGM,AgentSelfUpgradeRetirementAgent,,,,,,tbd,,,,PACK-da39a3ee,Uncategorized,,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,Enables self-upgrading and safe agent retirement/merging; escalates for human approval before permanent agent removal.,,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
MultiTenantIsolationAgent,Micro Agent,micro,,,tenant_config;resource_usage,isolation_report;quota_alert,,Stack-Chief,Subject-001,,wx YGM,MultiTenantIsolationAgent,,,,,,tbd,,,,PACK-da39a3ee,Uncategorized,,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Manages tenant isolation, quotas, and cross-tenant security; escalates for human aid only if legal or business policy changes required.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
UpgradePatchAgent,Micro Agent,micro,,,current_version;available_patch,upgrade_status,,Stack-Chief,Subject-001,,wx YGM,UpgradePatchAgent,,,,,,tbd,,,,PACK-da39a3ee,Uncategorized,,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,Detects and applies updates/patches to agents and system components; escalates for failed or blocked upgrades.,,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
string,Micro Agent,micro,,,,,,Stack-Chief,Subject-001,,wx YGM,string,,,,,,tbd,,,,PACK-da39a3ee,Uncategorized,,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,,,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
AgentSupervisorHeartbeatAgent,Micro Agent,micro,,,agent_status;health_signals,health_report;restart_action,,Stack-Chief,Subject-001,,wx YGM,AgentSupervisorHeartbeatAgent,,,,,,tbd,,,,PACK-da39a3ee,"Operations, SRE & FinOps",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Supervises all agent uptime and health, restarts or repairs agents if down, and can escalate for human action if persistent system-wide failure.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
BackupRestoreAgent,Micro Agent,micro,,,data_state;backup_policy,backup_file;restore_status,,Stack-Chief,Subject-001,,wx YGM,BackupRestoreAgent,,,,,,tbd,,,,PACK-da39a3ee,"Operations, SRE & FinOps",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Manages snapshots, backup, and restore for agent/app data; escalates for backup corruption or restore failure.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
CacheManagerAgent,Micro Agent,micro,,,call_metadata;ttl_policy,cached_response,,Stack-Chief,Subject-001,,wx YGM,CacheManagerAgent,,,,,,tbd,,,,PACK-da39a3ee,"Operations, SRE & FinOps",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,Implements caching strategies for expensive calls; escalates for new data types or cache invalidation policy conflicts.,,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
ConfigManagerAgent,Micro Agent,micro,,,env_specs;feature_flags,validated_config,,Stack-Chief,Subject-001,,wx YGM,ConfigManagerAgent,,,,,,tbd,,,,PACK-da39a3ee,"Operations, SRE & FinOps",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Parses and validates app config, feature flags, and settings; escalates for novel configuration types or unclear environment variables.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
CostEstimationAgent,Micro Agent,micro,,,task;resource_metrics,cost_estimate;budget_alert,,Stack-Chief,Subject-001,,wx YGM,CostEstimationAgent,,,,,,tbd,,,,PACK-da39a3ee,"Operations, SRE & FinOps",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,Estimates cost/resources for agent and system operations; escalates for ambiguous pricing models or budget overrun.,,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
ErrorHandlingRetryHelperAgent,Micro Agent,micro,,,error;retry_policy,retry_action;circuit_break,,Stack-Chief,Subject-001,,wx YGM,ErrorHandlingRetryHelperAgent,,,,,,tbd,,,,PACK-da39a3ee,"Operations, SRE & FinOps",,,,Ops,,COURT-POLICY-NA-NA,,,,,,cpu>=1; ram>=1GB; disk>=500MB,,,,,,,Operator,,,,,,,,,,,,,,,,"Injects error catching, retry logic, and circuit breakers into agent workflows; escalates for unrecoverable errors.",,,,,,SubjectOrchestrator,,,,,,,pack=PACK-da39a3ee; min_plane=Deployed; approval=auto,,,,,trace.na.na.na,,,,
